obs_id,site_id,site_match_confidence,meta_source,study_citation,location_name,lat,lon,country_continent,koppen_geiger,whittaker_biome,climate_class_paperdefined,forest_change_metric,forest_change_submetric,forest_change_value_type,forest_change_value_point,forest_change_value_min,forest_change_value_max,forest_change_value_sd,forest_change_unit,hydro_response_metric,hydro_response_value_type,hydro_response_value_point,hydro_response_value_min,hydro_response_value_max,hydro_response_value_sd,hydro_response_unit,method_analysis,method_forest_change_measurement,method_hydro_response_measurement,watershed_area_km2,precip_mm_yr,spatial_scale,notes_flags,figure_table_source
zhang2017_158,site_frazer_colo_usa_fool_creek,exact,"Zhang et al., 2017","Alexander and Watkins,1977; Troendle,1980","Frazer. Colo, USA, Fool Creek",40.0,-105.8,North America,Dfc,Boreal forest,,forest_cover_change,,point,-40,,,,%,runoff,point,38.5,,,,%,PWE,% cover change (source study),catchment water balance,2.89,762,small,"lat/lon/koppen/whittaker borrowed from Yang et al. 2023 match (catchment #61, Frazer. Colo, USA, Fool Creek) - confidence=exact, not manually verified as identical sub-watershed; precip data source type (per Zhang appendix): OB",Appendix A Table A1
zhang2017_159,,,"Zhang et al., 2017","Webb and Jarrett,2013",Geebung,,,,,,,forest_cover_change,,point,-34,,,,%,runoff,point,24.7,,,,%,PWE,% cover change (source study),catchment water balance,0.796,906,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_160,,,"Zhang et al., 2017","Webb and Jarrett,2013",Germans,,,,,,,forest_cover_change,,point,-80,,,,%,runoff,point,148.7,,,,%,PWE,% cover change (source study),catchment water balance,2.251,906,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_161,,,"Zhang et al., 2017","Beck et al.,2013",Grande de Lo´ ıza,,,,,,,forest_cover_change,,point,28.7,,,,%,runoff,point,-1.1,,,,%,HM,% cover change (source study),catchment water balance,233,1963,small,precip data source type (per Zhang appendix): MD,Appendix A Table A1
zhang2017_162,,,"Zhang et al., 2017","Beck et al.,2013",Grande de Manat´ ı,,,,,,,forest_cover_change,,point,20.9,,,,%,runoff,point,-36.8,,,,%,HM,% cover change (source study),catchment water balance,345.9,2004,small,precip data source type (per Zhang appendix): MD,Appendix A Table A1
zhang2017_163,site_grande_de_patillas,exact,"Zhang et al., 2017","Beck et al.,2013",Grande de Patillas,18.0,-66.0,North America,Am,Tropical rain forest,,forest_cover_change,,point,22.8,,,,%,runoff,point,-15.7,,,,%,HM,% cover change (source study),catchment water balance,46.3,1720,small,"lat/lon/koppen/whittaker borrowed from Yang et al. 2023 match (catchment #64, Grande de Patillas) - confidence=exact, not manually verified as identical sub-watershed; precip data source type (per Zhang appendix): MD",Appendix A Table A1
zhang2017_164,,,"Zhang et al., 2017","Hewlett,1979","Grant Forest, Ga, USA, WS18",,,,,,,forest_cover_change,,point,-100,,,,%,runoff,point,54.4,,,,%,PWE,% cover change (source study),catchment water balance,0.33,1219,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_165,,,"Zhang et al., 2017","Webb and Jarrett,2013",Grevillea,,,,,,,forest_cover_change,,point,-95,,,,%,runoff,point,350,,,,%,PWE,% cover change (source study),catchment water balance,0.925,906,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_166,,,"Zhang et al., 2017","Robinson and Dupeyrat, 2005",Hafren,,,,,,,forest_cover_change,,point,-26,,,,%,runoff,point,3,,,,%,PWE,% cover change (source study),catchment water balance,3.67,2500,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_167,site_hansen,exact,"Zhang et al., 2017","Ruprecht et al.,1991",Hansen,-37.8,144.9,Oceania,Csb,Woodland/shrubland,,forest_cover_change,,point,-75,,,,%,runoff,point,71.6,,,,%,PWE,% cover change (source study),catchment water balance,0.8,1200,small,"lat/lon/koppen/whittaker borrowed from Yang et al. 2023 match (catchment #68, Hansen) - confidence=exact, not manually verified as identical sub-watershed; precip data source type (per Zhang appendix): OB",Appendix A Table A1
zhang2017_168,site_hf1,exact,"Zhang et al., 2017","Boggs et al.,2015",HF1,36.2,78.9,Asia,BWk (flagged — see note),Desert (flagged — see note),,forest_cover_change,,point,-92,,,,%,runoff,point,240,,,,%,PWE,% cover change (source study),catchment water balance,0.12,1220,small,"lat/lon/koppen/whittaker borrowed from Yang et al. 2023 match (catchment #69, HF1) - confidence=exact, not manually verified as identical sub-watershed; precip data source type (per Zhang appendix): OB",Appendix A Table A1
zhang2017_169,,,"Zhang et al., 2017","Boggs et al.,2015",HF2,,,,,,,forest_cover_change,,point,0,,,,%,runoff,point,0,,,,%,PWE,% cover change (source study),catchment water balance,0.12,1220,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_170,site_hfw1,exact,"Zhang et al., 2017","Boggs et al.,2015",HFW1,36.2,78.9,Asia,BWk (flagged — see note),Desert (flagged — see note),,forest_cover_change,,point,-33,,,,%,runoff,point,40,,,,%,PWE,% cover change (source study),catchment water balance,0.29,1220,small,"lat/lon/koppen/whittaker borrowed from Yang et al. 2023 match (catchment #70, HFW1) - confidence=exact, not manually verified as identical sub-watershed; precip data source type (per Zhang appendix): OB",Appendix A Table A1
zhang2017_171,,,"Zhang et al., 2017","Boggs et al.,2015",HFW2,,,,,,,forest_cover_change,,point,0,,,,%,runoff,point,0,,,,%,PWE,% cover change (source study),catchment water balance,0.4,1220,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_172,,,"Zhang et al., 2017","Harr, 1976,1979","HJ Andrew, OR #1",,,,,,,forest_cover_change,,point,-100,,,,%,runoff,point,33.6,,,,%,PWE,% cover change (source study),catchment water balance,0.96,2388,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
