Hydrologic Response,Trend,Trend Period,ET Estimation Basis,Vegetation Metric,Attribution,Attribution Method,Citation
Global terrestrial ET,0.66 +/- 0.38 mm/yr^2,1982-2011,"Ensemble mean of 8 diagnostic data sets (BESS, CAMELE, GLEAM, MOD16, MTE, P-LSH, PML-AVHRR, PML-MODIS)",LAI (satellite-derived; GIMMS-3g/MODIS),Vegetation greening (LAI) - 39% of trend,multiple regression,"Yang et al., 2023"
Global terrestrial ET,1.19 +/- 0.31 mm/yr^2,2001-2020,"Ensemble mean of 8 diagnostic data sets (BESS, CAMELE, GLEAM, MOD16, MTE, P-LSH, PML-AVHRR, PML-MODIS)",LAI (satellite-derived; GIMMS-3g/MODIS),Vegetation greening (LAI) - 62% of trend,multiple regression,"Yang et al., 2023"
Global terrestrial ET,12.0 +/- 2.4 mm/yr,1982-2011,Coupled land-atmosphere GCM simulation output (not an offline reconstruction ensemble - this is the model-simulated ET response to prescribed satellite LAI forcing),LAI (satellite-derived; GIMMS-3g),Vegetation greening (LAI) - ~55% +/- 25% of total observed ET increase,coupled land-atmosphere GCM simulation,"Zeng et al., 2018"
Global terrestrial ET,0.765 +/- 0.126 mm/yr^2,1982-2011,"Arithmetic-mean ensemble of 5 offline ET reconstructions (JUN10, ZEN14, ZHA15, ZHA16, GLEAM), resampled to 0.5 deg, limited to 1982-2011 and to land with multiyear LAI > 0.1",LAI (satellite-derived; GIMMS-3g),R = 0.39 - correlation only,partial spatial correlation,"Zeng et al., 2018"
